"school_name_x","School Code","Number of Rating","Overall Quality","Reputation","Facilities","Opportunities","Clubs","Safety","Happiness","Social","school_name_y","place_id","overall_rating","number_of_review","accurate_address","matching_substring","CA Student Undergraduate","CA Student Graduate","International Student Undergraduate","International Student Graduate","Image Source"
"Universite de Sherbrooke","/school/1481","45 Ratings","4.0","4.3","4.0","4.0","3.7","4.6","4.3","4.0","Universite de Sherbrooke (Sherbrooke)","ChIJ2QHYVEuzt0wRCkczUGODyEA","4.4","335.0","2500 Bd de l'Université, Sherbrooke, QC J1K 2R1, Canada","Universite de Sherbrooke","$2,797 - $8,730","$2,797 - $8,730","$19,155 - $21,395","$17,193 - $19,155","https://www.etudesuniversitaires.ca/wp-content/uploads/2020/11/Sherbrooke_UdeS_coul_300dpi.jpg"
"Universite de Sherbrooke","/school/18387","","","","","","","","","","Universite de Sherbrooke (Longueuil)","ChIJCSYXbBMbyUwRB9TIHsb5dsU","4.5","126.0","150 Pl. Charles-Le Moyne, Longueuil, QC J4K 0A8, Canada","Universite de Sherbrooke","$2,797 - $8,730","$2,797 - $8,730","$19,155 - $21,395","$17,193 - $19,155","https://www.etudesuniversitaires.ca/wp-content/uploads/2020/11/Sherbrooke_UdeS_coul_300dpi.jpg"
"Wilfrid Laurier University - Waterloo","/school/1492","363 Ratings","3.9","4.0","3.9","4.0","4.2","4.4","4.5","4.3","Wilfrid Laurier University - Waterloo","ChIJI5ofG_bzK4gRNyU3WUTmJNI","3.6","415.0","75 University Ave W, Waterloo, ON N2L 3C5, Canada","Wilfrid Laurier University","$5,663 - $7,081","$4,536 - $11,543","$29,311 - $30,716","$12,690 - $25,830","https://www.universitystudy.ca/wp-content/uploads/2019/04/wilfrid-laurier_2-lines_color_logo_200px.png"
"Wilfrid Laurier University - Brantford","/school/5355","85 Ratings","3.2","3.4","3.3","3.4","3.1","2.6","3.8","3.3","Wilfrid Laurier University - Brantford","ChIJV4ku1w5mLIgRIsS4Q3rvuNY","4.2","98.0","73 George St, Brantford, ON N3T 2Y3, Canada","Wilfrid Laurier University","$5,663 - $7,081","$4,536 - $11,543","$29,311 - $30,716","$12,690 - $25,830","https://www.universitystudy.ca/wp-content/uploads/2019/04/wilfrid-laurier_2-lines_color_logo_200px.png"
"Wilfrid Laurier University - Milton","/school/18184","","","","","","","","","","Wilfrid Laurier University - Milton","ChIJI5ofG_bzK4gRNyU3WUTmJNI","3.6","415.0","75 University Ave W, Waterloo, ON N2L 3C5, Canada","Wilfrid Laurier University","$5,663 - $7,081","$4,536 - $11,543","$29,311 - $30,716","$12,690 - $25,830","https://www.universitystudy.ca/wp-content/uploads/2019/04/wilfrid-laurier_2-lines_color_logo_200px.png"
"University of Windsor","/school/1493","298 Ratings","3.2","2.9","3.2","3.1","3.0","3.6","3.3","3.1","University of Windsor","ChIJ70vsxnctO4gR7kFOKhnxRBo","4.0","646.0","401 Sunset Ave, Windsor, ON N9B 3P4, Canada","University of Windsor","$5,800","$7,179","$25,910 - $30,200","$25,290","https://www.universitystudy.ca/wp-content/uploads/2019/04/windsor-color-2-lines-logo_200px.png"
"University of Regina","/school/1468","322 Ratings","3.0","2.9","3.1","2.9","2.6","3.7","3.0","2.6","University of Regina","ChIJq6ePeZCgHlMRJAyHny_D4Uc","4.3","479.0","3737 Wascana Pkwy, Regina, SK S4S 0A2, Canada","University of Regina","$7,230 - $7,665","$4,725","$21,690 - $22,995","$8,574","https://www.universitystudy.ca/wp-content/uploads/2019/04/regina-color-stacked-logo_200px.jpg"
"University of Lethbridge","/school/1435","326 Ratings","3.5","3.7","3.7","3.6","3.5","4.1","3.9","3.5","University of Lethbridge","ChIJGx5DBC2GblMRK4d2uP4OhZA","4.1","157.0","4401 University Dr W, Lethbridge, AB T1K 3M4, Canada","University of Lethbridge","$2,797 - $8,730","$2,797 - $8,730","$19,155 - $21,395","$17,193 - $19,155",""
"University of Lethbridge - Edmonton","/school/16613","","","","","","","","","","University of Lethbridge - Edmonton","ChIJP7MLsTkioFMRjxi-re3r9zc","","","7128 Ada Blvd NW, Edmonton, AB T5B 4E4, Canada","University of Lethbridge","$2,797 - $8,730","$2,797 - $8,730","$19,155 - $21,395","$17,193 - $19,155",""
"university of lethbridge","/school/18396","","","","","","","","","","university of lethbridge","ChIJGx5DBC2GblMRK4d2uP4OhZA","4.1","157.0","4401 University Dr W, Lethbridge, AB T1K 3M4, Canada","","","","","",""
"British Columbia Institute of Technology","/school/4019","139 Ratings","3.3","4.2","3.1","3.8","2.4","4.0","3.2","2.5","British Columbia Institute of Technology (Burnaby)","ChIJ28i4pcx3hlQRwDHMkYpIO6w","3.0","39.0","SW 3, White Ave, Burnaby, BC V5G 3H2, Canada","British Columbia Institute of Technology","$2,797 - $8,730","$2,797 - $8,730*","$8,730","$8,730 - $19,154*",""
"British Columbia Institute of Technology","/school/4774","2 Ratings","3.4","4.0","3.5","4.0","1.0","4.0","4.5","3.5","British Columbia Institute of Technology (Richmond)","ChIJqdTjFdZ0hlQRqudtz9PrBcg","4.1","60.0","3800 Cessna Dr, Richmond, BC V7B 0A1, Canada","British Columbia Institute of Technology","$2,797 - $8,730","$2,797 - $8,730*","$8,730","$8,730 - $19,154*",""
"British Columbia Institute of Technology","/school/5624","14 Ratings","3.4","3.9","3.5","3.6","2.3","4.2","3.5","2.3","British Columbia Institute of Technology (Vancouver)","ChIJ4S7wxnhxhlQRFGfmMvQ74LQ","4.3","124.0","555 Seymour St, Vancouver, BC V6B 3H6, Canada","British Columbia Institute of Technology","$2,797 - $8,730","$2,797 - $8,730*","$8,730","$8,730 - $19,154*",""
"British Columbia institute of technology","/school/18636","","","","","","","","","","British Columbia institute of technology","ChIJ28i4pcx3hlQRwDHMkYpIO6w","3.0","39.0","SW 3, White Ave, Burnaby, BC V5G 3H2, Canada","","","","","",""
"British Columbia Institute of Technology Marine","/school/5703","","","","","","","","","","British Columbia Institute of Technology Marine","ChIJp1ytTktwhlQRAYhuWfPtPFs","4.0","22.0","265 W Esplanade, North Vancouver, BC V7M 1A5, Canada","British Columbia Institute of Technology","$2,797 - $8,730","$2,797 - $8,730*","$8,730","$8,730 - $19,154*",""
"Ecole Polytechnique de Montreal","/school/1453","44 Ratings","3.4","4.1","3.1","3.5","3.7","3.4","3.4","3.7","Ecole Polytechnique de Montreal","ChIJcU38qfIZyUwRPhOEVql8Jto","4.3","288.0","2500 Chem. de Polytechnique, Montréal, QC H3T 1J4, Canada","Ecole Polytechnique de Montreal","$2,797 - $8,730","$3,147 - $9,821","$26,467","$19,341 - $21,548","https://www.etudesuniversitaires.ca/wp-content/uploads//2019/04/polytechnique_stacked-colour-logo_200px.jpg"
"Universite du Quebec a Rimouski","/school/1463","2 Ratings","4.1","4.0","3.5","4.5","3.5","5.0","4.5","4.5","Universite du Quebec a Rimouski (Rimouski)","ChIJq6ziNL_ZlUwRjn85I2WDTJo","4.6","92.0","300, allée des Ursulines, C.P. 3300, succ. A, 300 All. des Ursulines, Rimouski, QC G5L 3A1, Canada","Universite du Quebec, Universite du Quebec a Rimouski","","","","",""
"Universite du Quebec a Rimouski","/school/1463","2 Ratings","4.1","4.0","3.5","4.5","3.5","5.0","4.5","4.5","Universite du Quebec a Rimouski (Rimouski)","ChIJq6ziNL_ZlUwRjn85I2WDTJo","4.6","92.0","300, allée des Ursulines, C.P. 3300, succ. A, 300 All. des Ursulines, Rimouski, QC G5L 3A1, Canada","Universite du Quebec, Universite du Quebec a Rimouski","","","","",""
"Universite du Quebec a Rimouski","/school/1463","2 Ratings","4.1","4.0","3.5","4.5","3.5","5.0","4.5","4.5","Universite du Quebec a Rimouski (Rimouski)","ChIJq6ziNL_ZlUwRjn85I2WDTJo","4.6","92.0","300, allée des Ursulines, C.P. 3300, succ. A, 300 All. des Ursulines, Rimouski, QC G5L 3A1, Canada","Universite du Quebec, Universite du Quebec a Rimouski","","","","",""
"Universite du Quebec a Rimouski","/school/1463","2 Ratings","4.1","4.0","3.5","4.5","3.5","5.0","4.5","4.5","Universite du Quebec a Rimouski (Rimouski)","ChIJq6ziNL_ZlUwRjn85I2WDTJo","4.6","92.0","300, allée des Ursulines, C.P. 3300, succ. A, 300 All. des Ursulines, Rimouski, QC G5L 3A1, Canada","Universite du Quebec, Universite du Quebec a Rimouski","","","","",""
"Université du Québec en Outaouais","/school/18252","","","","","","","","","","Université du Québec en Outaouais (Saint-Jérôme)","ChIJ0eSmB70sz0wR9mZkJkYcBY0","4.4","41.0","5 Rue St Joseph, Saint-Jérôme, QC J7Z 0B7, Canada","","","","","",""
"Université du Québec en Outaouais","/school/18252","","","","","","","","","","Université du Québec en Outaouais (Saint-Jérôme)","ChIJ0eSmB70sz0wR9mZkJkYcBY0","4.4","41.0","5 Rue St Joseph, Saint-Jérôme, QC J7Z 0B7, Canada","","","","","",""
"Université du Québec en Outaouais","/school/18252","","","","","","","","","","Université du Québec en Outaouais (Saint-Jérôme)","ChIJ0eSmB70sz0wR9mZkJkYcBY0","4.4","41.0","5 Rue St Joseph, Saint-Jérôme, QC J7Z 0B7, Canada","","","","","",""
"Université du Québec en Outaouais","/school/18252","","","","","","","","","","Université du Québec en Outaouais (Saint-Jérôme)","ChIJ0eSmB70sz0wR9mZkJkYcBY0","4.4","41.0","5 Rue St Joseph, Saint-Jérôme, QC J7Z 0B7, Canada","","","","","",""
"Université du Québec à Chicoutimi","/school/18596","","","","","","","","","","Université du Québec à Chicoutimi (Saguenay)","ChIJO327BbYgwEwRjvol162xEKY","4.2","177.0","555 Bd de l'Université, Chicoutimi, QC G7H 2B1, Canada","","","","","",""
"Université du Québec à Chicoutimi","/school/18596","","","","","","","","","","Université du Québec à Chicoutimi (Saguenay)","ChIJO327BbYgwEwRjvol162xEKY","4.2","177.0","555 Bd de l'Université, Chicoutimi, QC G7H 2B1, Canada","","","","","",""
"Université du Québec à Chicoutimi","/school/18596","","","","","","","","","","Université du Québec à Chicoutimi (Saguenay)","ChIJO327BbYgwEwRjvol162xEKY","4.2","177.0","555 Bd de l'Université, Chicoutimi, QC G7H 2B1, Canada","","","","","",""
"Université du Québec à Chicoutimi","/school/18596","","","","","","","","","","Université du Québec à Chicoutimi (Saguenay)","ChIJO327BbYgwEwRjvol162xEKY","4.2","177.0","555 Bd de l'Université, Chicoutimi, QC G7H 2B1, Canada","","","","","",""
"Université du Québec en Outaouais","/school/18904","","","","","","","","","","Université du Québec en Outaouais (Gatineau)","ChIJy5VZf3sEzkwRVEMDAWwa5zM","4.2","105.0","283 Boul. Alexandre-Taché, Gatineau, QC J8X 3X7, Canada","","","","","",""
"Université du Québec en Outaouais","/school/18904","","","","","","","","","","Université du Québec en Outaouais (Gatineau)","ChIJy5VZf3sEzkwRVEMDAWwa5zM","4.2","105.0","283 Boul. Alexandre-Taché, Gatineau, QC J8X 3X7, Canada","","","","","",""
"Université du Québec en Outaouais","/school/18904","","","","","","","","","","Université du Québec en Outaouais (Gatineau)","ChIJy5VZf3sEzkwRVEMDAWwa5zM","4.2","105.0","283 Boul. Alexandre-Taché, Gatineau, QC J8X 3X7, Canada","","","","","",""
"Université du Québec en Outaouais","/school/18904","","","","","","","","","","Université du Québec en Outaouais (Gatineau)","ChIJy5VZf3sEzkwRVEMDAWwa5zM","4.2","105.0","283 Boul. Alexandre-Taché, Gatineau, QC J8X 3X7, Canada","","","","","",""
"Trent University","/school/13718","25 Ratings","3.7","4.1","3.8","3.5","3.0","4.7","4.3","3.4","Trent University","ChIJw41iuB311YkREso8L-O3FfM","4.2","102.0","1600 W Bank Dr, Peterborough, ON K9L 0G2, Canada","Trent University","$6,118","$5,394","$22,844 - $26,191","$14,418","https://www.universitystudy.ca/wp-content/uploads/2019/04/trent-color-rainbow-tagline-logo_200px.png"
"Trent University ","/school/19091","","","","","","","","","","Trent University ","ChIJw41iuB311YkREso8L-O3FfM","4.2","102.0","1600 W Bank Dr, Peterborough, ON K9L 0G2, Canada","Trent University","$6,118","$5,394","$22,844 - $26,191","$14,418","https://www.universitystudy.ca/wp-content/uploads/2019/04/trent-color-rainbow-tagline-logo_200px.png"
"Trent University - Durham","/school/17610","1 Ratings","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Trent University - Durham","ChIJNxoXXa4d1YkRiW4cZ3Ec7vI","3.9","81.0","55 Thornton Rd S, Oshawa, ON L1J 5Y1, Canada","Trent University","$6,118","$5,394","$22,844 - $26,191","$14,418","https://www.universitystudy.ca/wp-content/uploads/2019/04/trent-color-rainbow-tagline-logo_200px.png"
"Laurentian University of Sudbury","/school/1433","197 Ratings","3.1","2.8","3.2","3.1","2.8","4.1","3.2","3.2","Laurentian University of Sudbury","ChIJjQNA3qyqL00RWyzDHILmfoA","3.7","154.0","935 Ramsey Lake Rd, Sudbury, ON P3E 2C6, Canada","Laurentian University","$5,908 - $6,366","$5,353 - $5,721","$25,309 - $25,960","$12,961 - $14,361","https://www.universitystudy.ca/wp-content/uploads/2019/04/laurentian_2-lines-color_logo_200px-1.png"
"Acadia University","/school/1406","216 Ratings","3.8","4.1","4.1","3.7","3.6","4.2","4.2","4.0","Acadia University","ChIJBYeoBKZVWEsRIphnNhZ0SOA","4.4","142.0","15 University Ave, Wolfville, NS B4P 2R6, Canada","Acadia University","$8,194 - $9,477","$8,139 - $9,422","$18,794","$19,158","https://www.universitystudy.ca/wp-content/uploads/2018/08/acadia-logo-2.jpg"
"HEC Montreal","/school/5851","68 Ratings","4.2","4.5","4.3","4.4","3.7","4.7","4.4","4.0","HEC Montreal","ChIJsRqPzewZyUwRXTvbR1PpgOc","4.4","265.0","3000 Chem. de la Côte-Sainte-Catherine, Montréal, QC H3T 2A7, Canada","HEC Montreal","$2,797 - $8,730","$2,797 - $8,730","$20,270 - $22,573","$17,192 - $19,153","https://www.universitystudy.ca/wp-content/uploads/2019/04/hec_montreal_horizontal_color_logo_200px-1.png"
"Lakehead University","/school/1432","134 Ratings","3.1","3.0","3.1","3.2","3.1","3.8","3.5","3.3","Lakehead University (Fort Erie)","ChIJK3VV9THL1IkRa5Z9-647pds","3.0","6.0","95 King St E 4th Floor, Toronto, ON M5C 1G4, Canada","Lakehead University","$5,398 - $5,985","$4,894 - $5,390","$26,522 - $27,295","$15,334","https://www.universitystudy.ca/wp-content/uploads/2021/02/Lakehead_logo_web-200x-1.jpg"
"Lakehead University","/school/16496","45 Ratings","3.0","2.7","3.4","2.8","2.3","4.4","3.0","2.2","Lakehead University (Orillia)","ChIJh15oYTmpKk0RBOdfCUcqtaM","3.9","51.0","500 University Ave, Orillia, ON L3V 0B9, Canada","Lakehead University","$5,398 - $5,985","$4,894 - $5,390","$26,522 - $27,295","$15,334","https://www.universitystudy.ca/wp-content/uploads/2021/02/Lakehead_logo_web-200x-1.jpg"
"Ontario Tech University","/school/4714","267 Ratings","3.3","3.1","3.4","3.3","2.9","4.2","3.4","2.8","Ontario Tech University","ChIJf674apob1YkR9RY3WRk6Nyo","3.9","308.0","2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada","Ontario Tech University","$9,159 - $9,390","$7,579 - $8,860","$31,552 - $39,808","$19,166 - $28,961","https://www.universitystudy.ca/wp-content/uploads/2019/04/ontario-tech_2-lines-colour-logo_150px.jpg"
"Vancouver Island University","/school/1437","214 Ratings","3.3","3.1","3.5","3.1","2.8","4.2","3.5","2.8","Vancouver Island University","ChIJ7wZKIO2jiFQRiNJp9WBl8mI","4.1","234.0","900 Fifth St, Nanaimo, BC V9R 5S5, Canada","Vancouver Island University","$4,798","$10,428 - $14,021","$19,227","$18,360","https://www.universitystudy.ca/wp-content/uploads/2021/02/Vancouver-Island_logo_web-200-px-1.jpg"
"Vancouver Island University (was Malaspina UC)","/school/5864","2 Ratings","0.0","3.5","4.5","3.5","3.5","0.0","5.0","3.5","Vancouver Island University (was Malaspina UC)","ChIJwzQnIPaPiFQRbPinOHtQIu8","5.0","5.0","100 Jensen Ave E, Parksville, BC V9P 2G3, Canada","Vancouver Island University","$4,798","$10,428 - $14,021","$19,227","$18,360","https://www.universitystudy.ca/wp-content/uploads/2021/02/Vancouver-Island_logo_web-200-px-1.jpg"
"Ecole de Technologie Superieure","/school/1459","59 Ratings","4.1","4.3","3.9","4.5","4.4","4.5","4.2","3.7","Ecole de Technologie Superieure","ChIJB5eDqmAayUwR9kVcpBmnMrc","4.5","507.0","1100 R. Notre Dame O, Montréal, QC H3C 1K3, Canada","Ecole de Technologie Superieure","$2,725 - $8,506","$2,725 - $8,506","$24,654","$16,751 - $21,174","https://www.etudesuniversitaires.ca/wp-content/uploads/2021/02/Quebec-ETS_logo_web-200-px-1.jpg"
"University of Prince Edward Island","/school/1454","140 Ratings","3.0","3.0","3.2","2.7","2.5","4.5","3.3","2.7","University of Prince Edward Island","ChIJZ7UMMrVSXksR1dNlZ_--QSM","4.3","237.0","550 University Ave, Charlottetown, PE C1A 4P3, Canada","University of Prince Edward Island","$6,100 - $11,760","$6,210 - $10,350","$41,540 - $61,350","$6,210 - $43,990","https://www.universitystudy.ca/wp-content/uploads/2020/01/upei_shield_logo.jpg"
"The Ontario College of Art and Design University (OCAD U)","/school/4062","253 Ratings","2.8","3.4","2.6","2.8","1.9","3.3","2.9","2.3","The Ontario College of Art and Design University (OCAD U)","ChIJXRsCmM80K4gRutjp5gJkQR8","3.9","258.0","100 McCaul St, Toronto, ON M5T 1W1, Canada","","","","","",""
"Thompson Rivers University","/school/1419","241 Ratings","3.4","3.2","3.6","3.2","3.0","4.1","3.6","3.0","Thompson Rivers University (Kamloops)","ChIJjfqz1F8sflMR9Ls-dvm2c5M","3.9","400.0","805 Tru Way, Kamloops, BC V2C 0C8, Canada","Thompson Rivers University","$4,487","$7,887","$18,355","$13,532","https://www.universitystudy.ca/wp-content/uploads/2021/02/Thompson-Rivers_logo_200-px.jpg"
"Thompson Rivers University","/school/4099","5 Ratings","3.1","2.8","3.2","3.2","3.0","4.5","3.2","3.0","Thompson Rivers University (Williams Lake)","ChIJR0KgYISkgFMReXbSbgvZp8w","4.7","17.0","1250 Western Ave, Williams Lake, BC V2G 1H7, Canada","Thompson Rivers University","$4,487","$7,887","$18,355","$13,532","https://www.universitystudy.ca/wp-content/uploads/2021/02/Thompson-Rivers_logo_200-px.jpg"
"Mount Allison University","/school/1444","123 Ratings","4.0","4.5","4.2","3.6","4.0","4.4","4.3","4.1","Mount Allison University","ChIJbUcnvuRQX0sRMAjFYncG6MQ","4.1","88.0","62A York St, Sackville, NB E4L 1H3, Canada","Mount Allison University","$9,725","$5,010","$19,620","$5,010","https://www.universitystudy.ca/wp-content/uploads/2019/04/Mt-Allison_2-lines_color-red_logo.png"
"University of Northern British Columbia","/school/1448","151 Ratings","3.3","3.3","3.6","3.1","3.1","4.2","3.4","3.0","University of Northern British Columbia","ChIJzb_rumaZiFMR3q9dqFC0y5A","4.4","151.0","3333 University Way, Prince George, BC V2N 4Z9, Canada","University of Northern British Columbia","$5,756","$3,569","$23,818","$4,996","https://www.universitystudy.ca/wp-content/uploads/2019/04/northern-bc_horizontal_color_logo_200px.png"
"Kwantlen Polytechnic University - Surrey","/school/4028","226 Ratings","3.1","3.2","3.3","3.1","2.6","3.7","3.4","2.5","Kwantlen Polytechnic University - Surrey","ChIJfaJc3jB1hlQRuzZQdqbGrus","4.0","417.0","12666 72 Ave, Surrey, BC V3W 2M8, Canada","Kwantlen Polytechnic University","$6,128 - $7,618","$3,504 - $4,508","$34,234 - $46,772","$4,380 - $15,392","https://www.universitystudy.ca/wp-content/uploads/2019/04/kwantlen_stacked_color-burgundy_logo_200px.png"
"Kwantlen Polytechnic University - Richmond","/school/13560","55 Ratings","3.1","3.2","3.2","2.9","2.2","3.7","3.6","2.3","Kwantlen Polytechnic University - Richmond","ChIJSSjj3TB1hlQRw5n4g0tUgmo","4.2","168.0","8771 Lansdowne Rd, Richmond, BC V6X 3X7, Canada","Kwantlen Polytechnic University","$6,128 - $7,618","$3,504 - $4,508","$34,234 - $46,772","$4,380 - $15,392","https://www.universitystudy.ca/wp-content/uploads/2019/04/kwantlen_stacked_color-burgundy_logo_200px.png"
"Kwantlen Polytechnic University - Langley","/school/13662","20 Ratings","3.1","3.3","3.2","3.0","2.0","4.1","3.4","2.8","Kwantlen Polytechnic University - Langley","ChIJReyi-y7OhVQRrdcEgzsYpwc","4.3","96.0","20901 Langley Bypass, Langley, BC V3A 8G9, Canada","Kwantlen Polytechnic University","$6,128 - $7,618","$3,504 - $4,508","$34,234 - $46,772","$4,380 - $15,392","https://www.universitystudy.ca/wp-content/uploads/2019/04/kwantlen_stacked_color-burgundy_logo_200px.png"
"Kwantlen Polytechnic University - Cloverdale","/school/17870","3 Ratings","2.8","3.3","3.3","2.3","1.3","3.0","3.0","2.0","Kwantlen Polytechnic University - Cloverdale","ChIJ7QcQalWEC0ERkB8yOE-DOck","4.3","60.0","5500 180 St, Surrey, BC V3S 6R1, Canada","Kwantlen Polytechnic University","$6,128 - $7,618","$3,504 - $4,508","$34,234 - $46,772","$4,380 - $15,392","https://www.universitystudy.ca/wp-content/uploads/2019/04/kwantlen_stacked_color-burgundy_logo_200px.png"
"Kwantlen polytechnic university - civic plaza","/school/18787","1 Ratings","3.4","4.0","3.0","3.0","2.0","5.0","4.0","3.0","Kwantlen polytechnic university - civic plaza","ChIJ2UN_F7HZhVQRwYLGDFnf7bE","4.3","15.0","13485 Central Ave, Surrey, BC V3T 0K2, Canada","","","","","",""
"Saint Mary's University","/school/1475","278 Ratings","3.7","3.6","3.9","3.6","3.4","4.1","4.1","3.6","Saint Mary's University (Halifax)","ChIJXQqGlD8iWksRDdgm1N9hCd0","4.5","255.0","923 Robie St, Halifax, NS B3H 3C3, Canada","Saint Mary's University","$7,347 - $8,630","$4,264 - $7,564","$19,770 - $20,340","$12,284 - $16,751","https://www.universitystudy.ca/wp-content/uploads/2021/12/St-Marys_logo-color_web200x.jpg"
